Power,Label
305.6,0
305.6,0
305.6,0
306.4,0
307.2,0
305.2,0
308.79999999999995,0
305.6,0
306.0,0
306.4,0
305.6,0
305.6,0
306.4,0
306.4,0
306.0,0
306.4,0
307.6,0
306.0,0
307.2,0
306.79999999999995,0
306.4,0
306.0,0
315.2,0
309.2,0
306.4,0
306.4,0
305.6,0
306.0,0
304.8,0
307.2,0
307.2,0
305.2,0
305.2,0
305.2,0
306.79999999999995,0
306.79999999999995,0
306.0,0
306.0,0
305.6,0
306.0,0
306.0,0
304.8,0
305.6,0
306.4,0
306.4,0
306.0,0
306.79999999999995,0
305.6,0
306.0,0
305.6,0
305.2,0
309.2,0
306.4,0
306.4,0
306.0,0
305.6,0
305.6,0
304.8,0
306.4,0
304.8,0
304.8,0
305.2,0
304.8,0
306.4,0
306.0,0
306.4,0
306.4,0
305.6,0
310.0,0
308.79999999999995,0
306.4,0
305.6,0
306.4,0
306.4,0
306.79999999999995,0
305.6,0
305.6,0
305.6,0
306.4,0
308.0,0
305.6,0
305.6,0
304.8,0
306.0,0
306.4,0
306.4,0
305.6,0
306.0,0
306.4,0
306.4,0
306.0,0
306.0,0
306.4,0
306.0,0
306.4,0
306.4,0
306.0,0
308.79999999999995,0
306.79999999999995,0
306.4,0
306.0,0
305.6,0
306.79999999999995,0
305.6,0
305.2,0
305.2,0
306.0,0
305.6,0
306.4,0
305.2,0
305.2,0
306.4,0
306.79999999999995,0
305.2,0
305.2,0
309.2,0
305.6,0
305.2,0
306.0,0
306.4,0
305.6,0
305.6,0
306.0,0
306.4,0
306.4,0
306.4,0
306.0,0
306.4,0
306.4,0
305.2,0
305.6,0
306.0,0
305.2,0
306.0,0
305.6,0
306.4,0
305.6,0
305.6,0
306.79999999999995,0
306.4,0
306.0,0
306.0,0
307.2,0
316.4,0
307.6,0
306.79999999999995,0
305.6,0
306.4,0
306.0,0
306.0,0
306.79999999999995,0
306.0,0
307.2,0
306.0,0
306.4,0
306.4,0
306.4,0
305.6,0
306.0,0
306.4,0
306.4,0
306.4,0
308.0,0
306.79999999999995,0
306.4,0
306.4,0
306.0,0
307.2,0
305.6,0
310.0,0
306.4,0
305.2,0
306.79999999999995,0
306.0,0
307.2,0
306.4,0
306.4,0
306.4,0
306.4,0
306.4,0
308.0,0
306.79999999999995,0
306.0,0
306.4,0
306.4,0
307.6,0
306.79999999999995,0
305.6,0
307.6,0
306.79999999999995,0
306.4,0
306.4,0
306.4,0
305.2,0
306.79999999999995,0
306.0,0
305.2,0
306.4,0
306.79999999999995,0
306.79999999999995,0
306.4,0
306.4,0
309.6,0
307.2,0
306.79999999999995,0
305.6,0
306.79999999999995,0
305.6,0
306.79999999999995,0
306.79999999999995,0
306.0,0
306.4,0
305.6,0
306.4,0
306.4,0
306.4,0
307.2,0
306.79999999999995,0
321.6,0
308.79999999999995,0
306.79999999999995,0
305.6,0
307.6,0
306.4,0
309.2,0
306.4,0
307.2,0
305.6,0
306.4,0
306.79999999999995,0
306.0,0
305.6,0
306.0,0
306.79999999999995,0
306.4,0
306.0,0
305.6,0
306.0,0
305.2,0
305.2,0
306.0,0
306.79999999999995,0
306.0,0
305.6,0
305.2,0
306.0,0
305.2,0
306.4,0
307.2,0
306.79999999999995,0
306.0,0
306.0,0
306.0,0
306.79999999999995,0
305.6,0
306.4,0
306.0,0
306.0,0
306.0,0
306.0,0
306.79999999999995,0
306.79999999999995,0
306.0,0
306.4,0
305.2,0
306.79999999999995,0
306.0,0
306.79999999999995,0
306.79999999999995,0
306.0,0
306.4,0
305.6,0
305.6,0
306.4,0
305.6,0
306.0,0
308.79999999999995,0
306.79999999999995,0
307.2,0
306.79999999999995,0
306.79999999999995,0
306.0,0
305.2,0
305.6,0
305.2,0
305.2,0
305.6,0
306.4,0
305.6,0
306.4,0
306.79999999999995,0
306.0,0
305.2,0
313.6,0
308.79999999999995,0
306.4,0
305.6,0
309.2,0
305.6,0
307.2,0
306.0,0
305.6,0
307.2,0
306.79999999999995,0
306.79999999999995,0
306.4,0
306.79999999999995,0
306.0,0
306.0,0
306.79999999999995,0
306.0,0
306.79999999999995,0
306.4,0
307.2,0
307.2,0
306.0,0
306.79999999999995,0
306.79999999999995,0
306.79999999999995,0
306.79999999999995,0
306.0,0
306.0,0
308.4,0
307.2,0
306.79999999999995,0
306.4,0
307.2,0
305.6,0
307.2,0
306.79999999999995,0
306.79999999999995,0
306.79999999999995,0
306.4,0
308.0,0
307.2,0
307.2,0
306.79999999999995,0
306.0,0
306.4,0
307.2,0
306.79999999999995,0
306.79999999999995,0
306.79999999999995,0
306.0,0
306.79999999999995,0
306.4,0
305.6,0
307.2,0
306.79999999999995,0
308.4,0
306.4,0
306.79999999999995,0
306.79999999999995,0
306.79999999999995,0
306.79999999999995,0
306.79999999999995,0
307.2,0
306.4,0
306.79999999999995,0
306.0,0
306.4,0
306.79999999999995,0
306.0,0
306.79999999999995,0
306.0,0
306.79999999999995,0
306.79999999999995,0
362.4,1
377.6,1
387.2,1
387.6,1
388.4,1
388.4,1
388.0,1
349.2,1
378.0,1
393.2,1
392.8,1
390.8,1
397.6,1
440.4,1
443.6,1
441.6,1
441.6,1
444.4,1
442.4,1
442.0,1
442.4,1
441.6,1
440.4,1
442.4,1
307.2,0
307.2,0
306.4,0
306.79999999999995,0
307.2,0
307.2,0
309.6,0
306.79999999999995,0
307.6,0
308.0,0
306.0,0
306.79999999999995,0
306.4,0
307.6,0
306.4,0
307.2,0
307.2,0
306.4,0
307.2,0
306.79999999999995,0
307.2,0
306.4,0
307.6,0
307.2,0
307.2,0
308.0,0
306.0,0
306.4,0
307.2,0
307.2,0
314.0,0
308.0,0
307.6,0
307.2,0
308.0,0
307.6,0
306.79999999999995,0
306.4,0
307.2,0
307.2,0
308.4,0
307.2,0
307.2,0
307.6,0
307.2,0
308.0,0
307.6,0
307.6,0
307.2,0
307.2,0
306.4,0
307.2,0
306.4,0
306.0,0
306.79999999999995,0
306.79999999999995,0
306.79999999999995,0
306.79999999999995,0
309.2,0
309.6,0
307.6,0
307.2,0
306.4,0
307.6,0
307.2,0
307.2,0
306.4,0
307.2,0
306.79999999999995,0
307.2,0
306.79999999999995,0
307.2,0
307.2,0
307.6,0
307.6,0
307.2,0
306.79999999999995,0
306.79999999999995,0
307.2,0
308.79999999999995,0
307.2,0
307.2,0
307.6,0
306.79999999999995,0
307.6,0
306.79999999999995,0
307.2,0
306.0,0
306.79999999999995,0
307.2,0
306.79999999999995,0
307.6,0
307.2,0
306.79999999999995,0
307.2,0
308.0,0
307.2,0
307.6,0
307.6,0
307.6,0
307.6,0
306.79999999999995,0
307.6,0
307.6,0
307.6,0
314.4,0
308.0,0
308.4,0
307.2,0
308.0,0
308.0,0
307.2,0
306.79999999999995,0
306.79999999999995,0
307.2,0
308.79999999999995,0
307.2,0
308.4,0
306.79999999999995,0
307.2,0
306.4,0
307.6,0
307.6,0
307.6,0
307.6,0
307.6,0
307.2,0
307.6,0
307.6,0
307.6,0
306.4,0
308.79999999999995,0
307.6,0
308.4,0
306.4,0
306.4,0
307.2,0
306.4,0
306.4,0
306.4,0
307.2,0
306.4,0
307.6,0
306.79999999999995,0
306.4,0
307.2,0
306.79999999999995,0
306.4,0
307.2,0
306.4,0
307.2,0
306.79999999999995,0
307.6,0
307.6,0
307.6,0
307.6,0
306.79999999999995,0
307.2,0
310.4,0
308.4,0
307.6,0
306.79999999999995,0
306.79999999999995,0
308.0,0
307.6,0
306.4,0
307.6,0
310.4,0
307.2,0
306.4,0
307.2,0
306.79999999999995,0
307.2,0
306.79999999999995,0
307.2,0
307.6,0
306.79999999999995,0
306.79999999999995,0
308.0,0
307.6,0
311.2,0
307.2,0
307.6,0
307.6,0
309.6,0
307.6,0
306.79999999999995,0
306.4,0
307.6,0
307.6,0
307.6,0
306.79999999999995,0
307.2,0
306.0,0
307.6,0
307.2,0
306.79999999999995,0
307.2,0
307.2,0
308.0,0
307.6,0
307.6,0
307.6,0
307.6,0
308.4,0
307.6,0
306.79999999999995,0
307.6,0
307.2,0
307.6,0
307.6,0
306.79999999999995,0
307.2,0
308.0,0
307.6,0
307.6,0
306.79999999999995,0
307.6,0
306.4,0
308.79999999999995,0
308.4,0
306.4,0
306.4,0
307.6,0
307.6,0
308.0,0
306.4,0
308.0,0
307.6,0
306.79999999999995,0
307.6,0
306.4,0
308.0,0
307.6,0
307.6,0
307.6,0
306.4,0
307.6,0
307.6,0
307.6,0
309.2,0
307.6,0
307.6,0
307.6,0
307.6,0
307.6,0
307.6,0
307.6,0
308.0,0
307.6,0
307.6,0
306.79999999999995,0
307.6,0
308.0,0
307.6,0
311.2,0
307.6,0
307.2,0
308.4,0
308.4,0
307.2,0
306.4,0
307.6,0
307.6,0
306.4,0
307.6,0
306.79999999999995,0
307.6,0
307.2,0
307.6,0
307.6,0
307.2,0
307.2,0
308.0,0
308.0,0
307.6,0
309.2,0
307.6,0
307.6,0
307.6,0
312.8,0
309.2,0
308.0,0
308.79999999999995,0
310.0,0
308.0,0
308.0,0
307.6,0
308.0,0
307.2,0
307.6,0
307.2,0
308.4,0
309.2,0
308.0,0
308.4,0
306.79999999999995,0
307.6,0
308.0,0
308.0,0
306.79999999999995,0
307.6,0
307.6,0
307.6,0
307.2,0
307.6,0
307.2,0
307.2,0
308.79999999999995,0
308.4,0
308.0,0
307.2,0
307.6,0
308.79999999999995,0
308.4,0
308.0,0
307.6,0
307.6,0
307.2,0
308.0,0
308.0,0
307.6,0
308.0,0
308.0,0
307.6,0
308.0,0
307.6,0
308.4,0
309.6,0
308.4,0
310.4,0
308.0,0
307.2,0
308.0,0
308.0,0
308.4,0
308.0,0
307.6,0
306.79999999999995,0
308.0,0
308.4,0
306.79999999999995,0
308.0,0
306.4,0
308.0,0
308.0,0
306.79999999999995,0
308.4,0
308.0,0
308.0,0
308.0,0
307.6,0
307.2,0
308.0,0
307.2,0
308.0,0
306.79999999999995,0
306.79999999999995,0
307.6,0
308.0,0
308.4,0
308.0,0
307.2,0
308.4,0
308.0,0
308.79999999999995,0
308.0,0
307.6,0
307.2,0
307.6,0
308.4,0
308.0,0
307.6,0
308.0,0
308.0,0
307.2,0
307.2,0
307.6,0
308.0,0
307.6,0
308.4,0
307.6,0
306.79999999999995,0
307.6,0
308.4,0
308.0,0
308.0,0
308.4,0
308.0,0
308.4,0
308.0,0
308.4,0
307.2,0
306.79999999999995,0
307.2,0
307.2,0
307.2,0
307.6,0
308.0,0
308.0,0
307.6,0
309.6,0
307.2,0
306.4,0
320.79999999999995,0
309.2,0
308.0,0
306.79999999999995,0
307.6,0
309.2,0
308.79999999999995,0
307.6,0
307.2,0
307.2,0
